cluster,gene,cluster0,celltype
B_mem_unswitched,CD19,B_mem_unswitched,B
B_mem_unswitched,SPIB,B_mem_unswitched,B
B_mem_unswitched,PAX5,B_mem_unswitched,B
B_mem_unswitched,LINC01857,B_mem_unswitched,B
B_mem_unswitched,SCIMP,B_mem_unswitched,B
B_mem_unswitched,AC104024.1,B_mem_unswitched,B
B_mem_unswitched,BLK,B_mem_unswitched,B
B_mem_unswitched,TNFRSF13B,B_mem_unswitched,B
B_mem_unswitched,FCRL2,B_mem_unswitched,B
B_mem_unswitched,SHISA8,B_mem_unswitched,B
B_mem_unswitched,CD70,B_mem_unswitched,B
B_mem_unswitched,SYNGR2,B_mem_unswitched,B
B_mem_unswitched,KLK1,B_mem_unswitched,B
B_mem_unswitched,PHF6,B_mem_unswitched,B
B_mem_unswitched,ATF5,B_mem_unswitched,B
B_mem_unswitched,BANK1,B_mem_unswitched,B
B_mem_unswitched,TNFRSF13C,B_mem_unswitched,B
B_mem_unswitched,CD58,B_mem_unswitched,B
B_mem_unswitched,CD22,B_mem_unswitched,B
B_mem_unswitched,CIITA,B_mem_unswitched,B
B_mem_unswitched,GNG8,B_mem_unswitched,B
B_mem_unswitched,METTL8,B_mem_unswitched,B
B_mem_unswitched,TLR10,B_mem_unswitched,B
B_mem_unswitched,WDFY4,B_mem_unswitched,B
B_mem_unswitched,HLA-DOA,B_mem_unswitched,B
B_mem_unswitched,MS4A1,B_mem_unswitched,B
B_mem_unswitched,NFKBID,B_mem_unswitched,B
B_mem_unswitched,CXCR5,B_mem_unswitched,B
B_mem_unswitched,TMC8,B_mem_unswitched,B
B_mem_unswitched,STAP1,B_mem_unswitched,B
B_mem_unswitched,CLECL1,B_mem_unswitched,B
B_mem_unswitched,LINC01480,B_mem_unswitched,B
B_mem_unswitched,CD79A,B_mem_unswitched,B
B_mem_unswitched,POU2F2,B_mem_unswitched,B
B_mem_unswitched,DNAJC5B,B_mem_unswitched,B
B_mem_unswitched,FAM30A,B_mem_unswitched,B
B_mem_unswitched,LINC00926,B_mem_unswitched,B
B_mem_unswitched,PTPN6,B_mem_unswitched,B
B_mem_unswitched,CYBB,B_mem_unswitched,B
B_mem_unswitched,LINC02397,B_mem_unswitched,B
B_mem_unswitched,PARP15,B_mem_unswitched,B
B_mem_unswitched,IRF4,B_mem_unswitched,B
B_mem_unswitched,CNR2,B_mem_unswitched,B
B_mem_unswitched,SEL1L3,B_mem_unswitched,B
B_mem_unswitched,LINC01215,B_mem_unswitched,B
B_mem_unswitched,FGD2,B_mem_unswitched,B
B_mem_unswitched,ZC3H8,B_mem_unswitched,B
B_mem_unswitched,HLA-DMB,B_mem_unswitched,B
B_mem_unswitched,TNFRSF18,B_mem_unswitched,B
B_mem_unswitched,POU2AF1,B_mem_unswitched,B
B_mem_unswitched,LPCAT1,B_mem_unswitched,B
B_mem_unswitched,BTLA,B_mem_unswitched,B
B_mem_unswitched,IZUMO4,B_mem_unswitched,B
B_mem_unswitched,AC008105.3,B_mem_unswitched,B
B_mem_unswitched,PIKFYVE,B_mem_unswitched,B
B_mem_unswitched,DUSP22,B_mem_unswitched,B
B_mem_unswitched,NRROS,B_mem_unswitched,B
B_mem_unswitched,TCEA1,B_mem_unswitched,B
B_mem_unswitched,AC073111.4,B_mem_unswitched,B
