cluster,gene,cluster0,celltype
LHS1,DHCR24,LHS1,Epithelial
LHS1,IBTK,LHS1,Epithelial
LHS1,TSPAN1,LHS1,Epithelial
LHS1,CLIC6,LHS1,Epithelial
LHS1,LMO7,LHS1,Epithelial
LHS1,C19orf33,LHS1,Epithelial
LHS1,PLCD3,LHS1,Epithelial
LHS1,GALNT7,LHS1,Epithelial
LHS1,SIGLEC15,LHS1,Epithelial
LHS1,STN1,LHS1,Epithelial
LHS1,RNF141,LHS1,Epithelial
LHS1,SMIM14,LHS1,Epithelial
LHS1,TSPAN15,LHS1,Epithelial
LHS1,DNALI1,LHS1,Epithelial
LHS1,JPT2,LHS1,Epithelial
LHS1,TLCD5,LHS1,Epithelial
LHS1,FHDC1,LHS1,Epithelial
LHS1,ANKRD30B,LHS1,Epithelial
LHS1,VSIG2,LHS1,Epithelial
LHS1,DLG5,LHS1,Epithelial
LHS1,ARPP19,LHS1,Epithelial
LHS1,NDUFV2,LHS1,Epithelial
LHS1,BAG1,LHS1,Epithelial
LHS1,GTF3C6,LHS1,Epithelial
LHS1,NTN4,LHS1,Epithelial
LHS1,ATP6V1G1,LHS1,Epithelial
LHS1,SMIM29,LHS1,Epithelial
LHS1,MYO6,LHS1,Epithelial
LHS1,ZNF292,LHS1,Epithelial
LHS1,TUBB3,LHS1,Epithelial
LHS1,GTPBP10,LHS1,Epithelial
LHS1,CSF3R,LHS1,Epithelial
LHS1,SYTL2,LHS1,Epithelial
LHS1,PLGRKT,LHS1,Epithelial
LHS1,TFAP2A,LHS1,Epithelial
LHS1,ZNRF2,LHS1,Epithelial
LHS1,HSDL1,LHS1,Epithelial
LHS1,HIGD1A,LHS1,Epithelial
LHS1,SERPINA3,LHS1,Epithelial
LHS1,CTXN1,LHS1,Epithelial
LHS1,LNX2,LHS1,Epithelial
LHS1,CA12,LHS1,Epithelial
LHS1,FAM102A,LHS1,Epithelial
LHS1,MEX3D,LHS1,Epithelial
LHS1,AP4M1,LHS1,Epithelial
LHS1,FASN,LHS1,Epithelial
LHS1,DBNDD1,LHS1,Epithelial
LHS1,MREG,LHS1,Epithelial
LHS2,ARHGAP40,LHS2,Epithelial
LHS2,AKR7A3,LHS2,Epithelial
LHS2,SRARP,LHS2,Epithelial
LHS2,FTO,LHS2,Epithelial
LHS2,PARD6G-AS1,LHS2,Epithelial
LHS2,ALDH3B2,LHS2,Epithelial
LHS2,SLC26A3,LHS2,Epithelial
LHS2,TFAP2B,LHS2,Epithelial
LHS2,KIF12,LHS2,Epithelial
LHS2,ERBB4,LHS2,Epithelial
LHS2,TTC36,LHS2,Epithelial
LHS2,INPP5J,LHS2,Epithelial
LHS2,MYB,LHS2,Epithelial
LHS2,XBP1,LHS2,Epithelial
LHS2,TTC6,LHS2,Epithelial
LHS2,SPDEF,LHS2,Epithelial
LHS2,BAMBI,LHS2,Epithelial
LHS2,ALB,LHS2,Epithelial
LHS2,VTCN1,LHS2,Epithelial
LHS2,TAT-AS1,LHS2,Epithelial
LHS2,FBP1,LHS2,Epithelial
LHS2,REEP6,LHS2,Epithelial
LHS2,DIO2,LHS2,Epithelial
LHS2,CREB3L4,LHS2,Epithelial
LHS2,FASN,LHS2,Epithelial
LHS2,MAGED2,LHS2,Epithelial
LHS2,MUC6,LHS2,Epithelial
LHS2,SCGB1B2P,LHS2,Epithelial
LHS2,TAT,LHS2,Epithelial
LHS2,ANKRD30A,LHS2,Epithelial
LHS2,ST8SIA6,LHS2,Epithelial
LHS2,HMGCS2,LHS2,Epithelial
LHS2,C3orf14,LHS2,Epithelial
LHS2,AFF3,LHS2,Epithelial
LHS2,PHGR1,LHS2,Epithelial
LHS2,MLPH,LHS2,Epithelial
LHS2,MSX2,LHS2,Epithelial
LHS2,CXCL13,LHS2,Epithelial
LHS2,AGR3,LHS2,Epithelial
LHS2,PGR,LHS2,Epithelial
LHS2,NR1D1,LHS2,Epithelial
LHS2,CMBL,LHS2,Epithelial
LHS2,IRX5,LHS2,Epithelial
LHS2,SLC39A6,LHS2,Epithelial
LHS2,AC021148.2,LHS2,Epithelial
LHS2,LRP2,LHS2,Epithelial
LHS2,IL20RA,LHS2,Epithelial
LHS2,ALOX15B,LHS2,Epithelial
LHS2,AC127526.5,LHS2,Epithelial
LHS2,ESR1,LHS2,Epithelial
LHS2,AC093001.1,LHS2,Epithelial
LHS2,DUSP10,LHS2,Epithelial
LHS2,PCCA-DT,LHS2,Epithelial
LHS2,DCDC2,LHS2,Epithelial
LHS2,SLC2A10,LHS2,Epithelial
LHS2,GSTM3,LHS2,Epithelial
LHS2,PLEKHF2,LHS2,Epithelial
LHS2,FAAH,LHS2,Epithelial
LHS2,SREBF1,LHS2,Epithelial
LHS2,MSMO1,LHS2,Epithelial
LHS2,KIAA1324,LHS2,Epithelial
LHS2,MYBPC1,LHS2,Epithelial
LHS2,SRF,LHS2,Epithelial
LHS2,LRRC26,LHS2,Epithelial
LHS2,SREBF2-AS1,LHS2,Epithelial
LHS2,PTHLH,LHS2,Epithelial
LHS2,SERHL2,LHS2,Epithelial
LHS2,WNT4,LHS2,Epithelial
LHS2,CITED1,LHS2,Epithelial
LHS2,GATA3-AS1,LHS2,Epithelial
LHS2,COX6C,LHS2,Epithelial
LHS2,GREB1,LHS2,Epithelial
LHS2,CRACR2B,LHS2,Epithelial
LHS2,IRX3,LHS2,Epithelial
LHS2,SLC9A3R1,LHS2,Epithelial
LHS2,CCDC57,LHS2,Epithelial
LHS2,GPR160,LHS2,Epithelial
LHS2,FOXA1,LHS2,Epithelial
LHS2,CALML3,LHS2,Epithelial
LHS2,SNIP1,LHS2,Epithelial
LHS2,ELOVL5,LHS2,Epithelial
LHS2,RAB17,LHS2,Epithelial
LHS2,MAGI3,LHS2,Epithelial
LHS2,COPS9,LHS2,Epithelial
LHS2,ACADSB,LHS2,Epithelial
LHS2,EGOT,LHS2,Epithelial
LHS2,MEGF9,LHS2,Epithelial
LHS2,TTC39A,LHS2,Epithelial
LHS2,PDZK1,LHS2,Epithelial
LHS2,AGR2,LHS2,Epithelial
LHS2,SORD,LHS2,Epithelial
LHS2,ANKRD30B,LHS2,Epithelial
LHS2,PHYHD1,LHS2,Epithelial
LHS2,PLGRKT,LHS2,Epithelial
LHS2,PRLR,LHS2,Epithelial
LHS2,BTG2,LHS2,Epithelial
LHS2,PARD6B,LHS2,Epithelial
LHS2,C9orf152,LHS2,Epithelial
LHS2,MPHOSPH6,LHS2,Epithelial
LHS2,EFNA1,LHS2,Epithelial
LHS3,CP,LHS3,Epithelial
LHS3,HMGB3,LHS3,Epithelial
LHS3,PPP4R4,LHS3,Epithelial
LHS3,PCAT18,LHS3,Epithelial
LHS3,ARHGAP36,LHS3,Epithelial
LHS3,CPB1,LHS3,Epithelial
LHS3,SERPINA1,LHS3,Epithelial
LHS3,SCGB1D2,LHS3,Epithelial
LHS3,CA2,LHS3,Epithelial
LHS3,CIB1,LHS3,Epithelial
LHS3,AC092329.4,LHS3,Epithelial
LHS3,CYP27B1,LHS3,Epithelial
LHS3,PDZK1,LHS3,Epithelial
LHS3,PIP,LHS3,Epithelial
LHS3,SCGB1B2P,LHS3,Epithelial
LHS3,AC100801.1,LHS3,Epithelial
LHS3,NEK10,LHS3,Epithelial
LHS3,SCGB3A1,LHS3,Epithelial
LHS3,HIGD1A,LHS3,Epithelial
LHS3,PBX3,LHS3,Epithelial
LHS3,SCUBE2,LHS3,Epithelial
LHS3,CITED1,LHS3,Epithelial
LHS3,HMGCS2,LHS3,Epithelial
LHS3,VSIG10L2,LHS3,Epithelial
LHS3,SEMA3B,LHS3,Epithelial
LHS3,IGSF1,LHS3,Epithelial
LHS3,LINC01578,LHS3,Epithelial
LHS3,CFB,LHS3,Epithelial
LHS3,SMIM14,LHS3,Epithelial
LHS3,SCD,LHS3,Epithelial
LHS3,FAM104A,LHS3,Epithelial
LHS3,CCDC74A,LHS3,Epithelial
LHS3,PLIN5,LHS3,Epithelial
LHS3,SLC39A6,LHS3,Epithelial
LHS3,DHCR24,LHS3,Epithelial
LHS3,SCGB2A2,LHS3,Epithelial
LHS3,DNAAF1,LHS3,Epithelial
LHS3,ATP6V1G1,LHS3,Epithelial
LHS3,IDH2,LHS3,Epithelial
LHS3,FAM120AOS,LHS3,Epithelial
LHS3,TMEM59,LHS3,Epithelial
LHS3,AC021148.2,LHS3,Epithelial
LHS3,HMGCS1,LHS3,Epithelial
LHS3,TAT-AS1,LHS3,Epithelial
LHS3,NTS,LHS3,Epithelial
LHS3,TAT,LHS3,Epithelial
LHS3,AQP3,LHS3,Epithelial
LHS3,EEF1AKMT3,LHS3,Epithelial
LHS3,SUB1,LHS3,Epithelial
LHS3,AC008115.3,LHS3,Epithelial
LHS3,NUCB2,LHS3,Epithelial
LHS3,PRR13,LHS3,Epithelial
LHS3,GLUL,LHS3,Epithelial
LHS3,PLAT,LHS3,Epithelial
LHS3,MUCL1,LHS3,Epithelial
LHS3,HOXB2,LHS3,Epithelial
LHS3,C12orf49,LHS3,Epithelial
LHS3,SLC4A7,LHS3,Epithelial
LHS3,ACADSB,LHS3,Epithelial
LHS3,UGDH,LHS3,Epithelial
LHS3,CYP4X1,LHS3,Epithelial
LHS3,TFPI2,LHS3,Epithelial
LHS3,PPDPF,LHS3,Epithelial
LHS3,BCAS4,LHS3,Epithelial
LHS3,IL17RB,LHS3,Epithelial
LHS3,DIRAS3,LHS3,Epithelial
LHS3,H2AFJ,LHS3,Epithelial
LHS3,SERPINA3,LHS3,Epithelial
LHS3,HAMP,LHS3,Epithelial
LHS3,BORCS5,LHS3,Epithelial
LHS3,YIPF1,LHS3,Epithelial
LHS3,MYBPC1,LHS3,Epithelial
LHS3,XBP1,LHS3,Epithelial
LHS3,MAPT,LHS3,Epithelial
LHS3,FDFT1,LHS3,Epithelial
LHS3,RAB43,LHS3,Epithelial
LHS3,COX6C,LHS3,Epithelial
LHS3,DNALI1,LHS3,Epithelial
LHS3,ERG28,LHS3,Epithelial
LHS3,MCCC2,LHS3,Epithelial
LHS3,TRAFD1,LHS3,Epithelial
LHS3,SEMA4B,LHS3,Epithelial
LHS3,AZGP1,LHS3,Epithelial
LHS3,RABEP1,LHS3,Epithelial
LHS3,PHGR1,LHS3,Epithelial
LHS3,DPCD,LHS3,Epithelial
LHS3,CHMP2A,LHS3,Epithelial
LHS3,PI15,LHS3,Epithelial
LHS3,CETN2,LHS3,Epithelial
LHS3,HSDL1,LHS3,Epithelial
LHS3,FASN,LHS3,Epithelial
LHS3,HMGN1,LHS3,Epithelial
LHS3,C20orf96,LHS3,Epithelial
LHS3,NDUFV2,LHS3,Epithelial
LHS3,EIF3H,LHS3,Epithelial
LHS3,TANC2,LHS3,Epithelial
LHS3,DGCR6,LHS3,Epithelial
LHS3,UQCRQ,LHS3,Epithelial
LHS3,IFT22,LHS3,Epithelial
LHS3,PDIA4,LHS3,Epithelial
