Cycling Myeloid,Myeloid c0 DC LAMP3,Myeloid c1 LAM1 FABP5,Myeloid c2 LAM2 APOE,Myeloid c3 cDC1 CLEC9A,Myeloid c4 DCs pDC IRF7,Myeloid c5 Macrophage 3 SIGLEC1,Myeloid c7 Monocyte 3 FCGR3A,Myeloid c8 Monocyte 2 S100A9,Myeloid c9 Macrophage 2 CXCL10,Myeloid c10 Macrophage 1 EGR1,Myeloid c11 cDC2 CD1C,Myeloid c12 Monocyte 1 IL1B
RAD51AP1,NDE1,ARHGAP18,ARRB2,GDI2,FERMT3,CD93,CD37,INSIG1,GPNMB,NRP2,NPC2,THEMIS2
ARHGAP18,ZBTB10,SLC7A7,TSPAN4,1-Mar,P2RY14,AP1B1,MPEG1,ETS2,FYB,CAPG,GCA,LINC01272
OSM,VAC14,RGS2,SOD2,CDK2AP2,CCDC186,TIMP2,VMO1,MAFB,TGFBI,SLC7A7,ARPC2,SMCO4
COX8A,THEMIS2,IL18,C5AR1,QPCT,SEMA7A,RGS10,THEMIS2,GABARAP,OLR1,IER5,PPT1,CECR1
CREG1,AOC1,RAB31,PLAUR,FGD2,RP11-117D22.2,IER5,PRKCB,JAML,LGALS2,IFNGR2,LAPTM5,LAIR1
EIF4EBP1,LAP3,FGL2,SNX10,SUB1,GRASP,PLEKHG2,SNN,IFNGR2,CLEC4E,CXCL9,PLXDC2,PYCARD
LILRB4,DOCK10,NCF2,ARPC3,CFL1,CD68,AP2S1,NFKBIZ,PYCARD,VSIG4,MGAT1,IL1RN,CD4
FN1,CD274,YWHAH,GM2A,NR4A3,CREM,DNAJC25-GNG10,PTPRE,HLA-DMA,IFI30,CD93,IL13RA1,CLEC4A
HNMT,N4BP2L1,NAMPT,C15orf48,HCLS1,AKAP13,MPEG1,CPVL,LILRB3,TFEC,ZEB2,GDI2,ARPC3
SAT1,TVP23A,HEXB,GABARAP,CMTM6,PARK7,QKI,RHOG,MGAT1,C5AR1,GNAI2,GABARAP,CD1E
H2AFY,CD80,VAMP8,MPP1,PARVG,C12orf45,GPR34,CORO1A,C10orf54,VAMP8,SNX6,FBP1,ARPC2
TNFSF13B,OSTF1,C3AR1,AKR1B1,LGALS9,AP1S2,C2,TNFSF13B,MCL1,LILRB1,CFD,GRASP,OAZ1
FCGR1A,TTYH2,CD86,TBXAS1,DBNL,PACSIN1,ARRB2,PYCARD,FOSL2,RAB31,TPP1,PIM3,APOBEC3A
RNASE6,RIPK2,IFNGR2,PTAFR,P2RY6,SUSD1,BLVRB,SLC43A2,GPCPD1,LY96,CECR1,FAM49B,MGAT1
C15orf48,TBC1D4,NINJ1,ATP6V1F,RPS11,GNG7,HIF1A,HLA-DRB5,TKT,RNASET2,GLA,LGALS9,ARPC1B
TPX2,SERPINB9,SLC16A3,AKR1A1,COX5A,RRBP1,CALM3,OAS1,LIMS1,S100A11,CCL8,SLC31A2,LAP3
BIRC5,HLA-DQB2,PLXDC2,SYNGR2,SELPLG,LPIN1,TPP1,TCIRG1,PRELID1,SLAMF7,DUSP1,KDM6B,GABARAP
DUT,NMRK1,TPP1,GRB2,ALDH2,ARL4C,SLC43A2,KYNU,APLP2,FOLR2,CD81,GLIPR2,GNAI2
ANP32B,ZFAS1,KCTD12,RAB31,POMP,DDIT4,SASH1,HES4,NINJ1,NR1H3,MPEG1,UBE2E2,SDS
IFNGR2,PDCD1LG2,SIRPA,RHOG,PABPC1,CTSB,DOK2,RGS18,SLC2A3,MMP19,IL10,HCLS1,S100A11
SYK,VMO1,LGALS9,NCF2,PTPN2,N4BP2L1,RHOG,H3F3A,RBKS,IL18,MMP9,WARS,SERPINB1
