cluster,gene,avg_logFC,p_val,p_val_adj,pct.1,pct.2,celltype,avg_strength
CD4_c4_Tstr,BTG2,0.752918290006839,0,0,0.623,0.402,T,0.752918290006839
CD4_c4_Tstr,CHORDC1,0.747781702838163,0,0,0.409,0.181,T,0.747781702838163
CD4_c4_Tstr,ATF3,0.73064575205534,0,0,0.198,0.052,T,0.73064575205534
CD4_c4_Tstr,AHSA1,0.724830911086844,0,0,0.432,0.206,T,0.724830911086844
CD4_c4_Tstr,TNF,0.722037660794724,0,0,0.194,0.088,T,0.722037660794724
CD4_c4_Tstr,NEU1,0.683884047173436,0,0,0.273,0.112,T,0.683884047173436
CD4_c4_Tstr,IER2,0.669232669916539,0,0,0.537,0.432,T,0.669232669916539
CD4_c4_Tstr,DNAJB6,0.666871519210371,0,0,0.556,0.377,T,0.666871519210371
CD4_c4_Tstr,DUSP2,0.663689231111952,0,0,0.562,0.379,T,0.663689231111952
CD4_c4_Tstr,IER5,0.651864279148227,0,0,0.266,0.102,T,0.651864279148227
CD4_c4_Tstr,CD69,0.641823391351154,0,0,0.638,0.495,T,0.641823391351154
CD4_c4_Tstr,SERTAD1,0.636610499102616,0,0,0.345,0.147,T,0.636610499102616
CD4_c4_Tstr,ANXA1,0.631020018957186,0,0,0.595,0.449,T,0.631020018957186
CD4_c4_Tstr,KLF6,0.627975939972103,0,0,0.766,0.623,T,0.627975939972103
CD4_c4_Tstr,NR4A2,0.622604282640999,0,0,0.431,0.242,T,0.622604282640999
CD4_c4_Tstr,TCP1,0.604247229370911,0,0,0.433,0.231,T,0.604247229370911
CD4_c5_CTL,GZMA,1.44683929831699,0,0,0.676,0.141,T,1.44683929831699
CD4_c5_CTL,CCL5,1.44152919748999,0,0,0.798,0.229,T,1.44152919748999
CD4_c5_CTL,CCL4,1.14999333074433,0,0,0.387,0.098,T,1.14999333074433
CD4_c5_CTL,GZMH,1.12325659982651,0,0,0.312,0.036,T,1.12325659982651
CD4_c5_CTL,NKG7,1.04936388347008,0,0,0.287,0.08,T,1.04936388347008
CD4_c5_CTL,HOPX,0.909067264659303,0,0,0.398,0.086,T,0.909067264659303
CD4_c5_CTL,GZMB,0.890297074438155,0,0,0.239,0.048,T,0.890297074438155
CD4_c5_CTL,LGALS1,0.860066819550779,0,0,0.594,0.27,T,0.860066819550779
