LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3,BMYO1,BMYO2,FB1,FB2,FB3,FB4,PV1,PV2,PV3,PV4,PV5,VEV,VEC,VEA,VEAT,LE1,LE2,CD4_naive,CD4_Th,CD8_Tem,CD8_Trm,CD8_Tc1,NKT,NK,ILC,B_naive,B_mem_switched,B_mem_unswitched,Plasma_cell,Macro,Macro-lipo,DC
IKBKE,YWHAH,APOBEC3B,MRPL18,MELK,RUNDC1,PHGR1,DHCR24,MIR205HG,IRX1,PLAGL1,ROR2,ADAMTS3,CD55,GLIS3,EIF4A3,HACD1,ISYNA1,ANGPTL4,CLDN15,C9orf40,KCTD12,SMAD1,GPRC5B,SCNN1B,FKBP5,MGAT4A,AC243829.1,SPN,AC243960.1,CTSW,APMAP,PRMT9,RCN2,POU2AF1,LINC01480,PDK1,SDS,CTSS,TBC1D13
CHI3L2,GBP2,CHI3L2,CRYAB,PIMREG,FSIP1,MLPH,SCGB2A2,S100A2,NEFM,OLFML3,S1PR2,RBP4,CCBE1,CD276,APEX1,MGST3,AC018647.1,GUCY1A2,MSN,HOXB4,SWAP70,SEMA3F,NOD2,SEMA3A,CRYBG1,EML4,SH2D2A,AOAH,NSMCE3,ITGB2,KLRC3,DMGDH,CD22,CYBB,CD79A,FCRL5,P2RX7,GM2A,MAP3K14
PLA2R1,ST14,PDLIM5,HSPD1,KIF11,ELF3-AS1,MSX2,DNAAF1,NFASC,PRNP,HTRA1,DIP2C,IGFBP6,MYOM2,SOX13,MYOCD,TBX2,PCSK1N,HRC,TNPO1,SCN4A,THSD7A,DOCK6,PROX1,CCDC141,PGGHG,AC007278.1,FCRL3,PTPN22,THEMIS,A2M-AS1,GNLY,CHRM3-AS2,LY9,SEL1L3,POU2F2,SEL1L,HIF1A-AS3,AL356417.3,RNASE6
TFCP2L1,SLC28A3,IGF2BP2,EPHB3,KIFC1,ZNF626,CXCL13,ATP6V1G1,CADM4,CNN1,FAM20A,TGFB3,SSC5D,MSC,UBA2,CCDC107,CAMK2G,SYNPO2,HES7,NEURL1B,AC010524.1,GIPC2,TP53I11,P4HA3,SRGAP3,CD5,ICOS,LAG3,CXCR6,JOSD1,ADCY7,SAMD3,PTGDR,GAPT,SPIB,DNAJC5B,NUGGC,DMXL2,PSD3,CLEC10A
SLC26A2,FGGY,RPL31,GCNT1,CDCA8,IRS1,AGR3,IDH2,DSC3,TMEM237,ZNF106,LPAR1,OSBPL8,ZFP36L1,TMEM189,PIP5K1B,SNTA1,STEAP4,PNMA1,MAPK11,MCF2L2,IFI6,MAPKAPK5-AS1,AC017104.1,C20orf204,RCAN3,LINC00861,CST7,JAML,AL359513.1,AP005482.1,TBC1D31,PDE4A,BLK,ITGAE,FAM30A,HIST1H2AC,AQP9,CTSD,BTLA
SLC18B1,DTX2,RPL37,DNAJB6,CDCA5,PTHLH,PGR,FAM120AOS,LAMC2,FRMD6,TNNT3,ABL1,CYP3A5,IGFBP6,NDUFS2,HNRNPH3,HRC,PDE5A,SERTAD3,RAI14,PATL2,PELI1,C2CD2,CHRDL2,PALD1,RESF1,CAMK4,IFNG,AKNA,TAGAP,DTHD1,KLRC1,IL2RA,ITGAE,WDFY4,LINC00926,U62317.4,ITGAX,CD68,TTYH2
OLFM4,SLPI,RPS5,SYCE1L,CCNA2,MAPK8,NR1D1,TMEM59,ATRN,ST8SIA2,CXCL14,TIMP1,NTN1,JAM3,PROCR,RBKS,NET1,PRKAR2B,PTEN,AQP1,AL583785.1,DIPK1B,NDST1,ZFPM2,ACKR2,PPP2R5C,PPP2R5C,APMAP,ATP7A,TRGC1,ZAP70,GNPTAB,AF305872.2,AL133259.1,MARCH1,PTPN6,AC012645.3,PIK3R5,AC015660.2,AJ009632.2
PDZK1IP1,DSG3,HEBP2,PADI2,TPX2,FOXA1,CMBL,AC021148.2,PSAT1,COL17A1,MRC2,UBTD2,S100A3,MED27,ASAP1,BNIP3L,FRZB,OLFML2B,SEPTIN4,PRXL2B,AC104506.1,CLEC14A,VWA1,NBN,SCN3A,SFXN1,SPOCK2,SLFN12L,WHRN,CCNH,CD300A,CD160,ADGRE5,STAG3,AC024560.5,CYBB,CCPG1,CCL3,FPR3,TMEM123
SLC12A2,KLK6,RPS2,PTRHD1,ESCO2,TTC39A,IRX5,HMGCS1,NT5DC3,INTU,GSTM5,KREMEN1,LEPR,MESD,PDE8A,AC090617.10,NUDT4,SLIT3,ASXL1,STARD8,RAPGEF3,ADIPOR2,SIN3B,RASGRP3,GJC2,MTERF4,PGGHG,PIK3R1,SLFN12L,KLRC4,PPIL2,ITGAL,IL4I1,KDM4B,AMN,LINC02397,CD38,CCL3L1,MS4A4A,LY75
LTF,ANXA1,RPS15,HSPE1,CDC20,CROT,SLC39A6,TAT-AS1,ZMAT3,CARMN,PTGDS,SAMD4B,DSEL,AC002456.1,LARGE1,RGS6,RASL12,NPY1R,RASD1,ADSS,CCDC178,ENPP2,AFAP1L1,NEO1,MPP7,AP3M2,SATB1-AS1,LEPROTL1,CTSW,CXCR3,LGR6,TNFRSF18,TRGV9,CXCR5,BAIAP3,PARP15,MT1F,CD300A,AC004988.1,ID2
