gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength
ACAP1,1.12E-108,0.772620456,0.403,0.131,2.06E-104,cDC_CLEC9A,0.772620456
SERPINB9,1.91E-108,1.620672806,0.706,0.369,3.52E-104,cDC_CLEC9A,1.620672806
KIF2A,2.47E-108,0.688573183,0.466,0.169,4.55E-104,cDC_CLEC9A,0.688573183
RAB32,3.64E-107,0.897881778,0.671,0.369,6.71E-103,cDC_CLEC9A,0.897881778
CHN2,7.11E-107,0.966656085,0.419,0.144,1.31E-102,cDC_CLEC9A,0.966656085
CKS2,1.73E-106,1.422976493,0.558,0.237,3.18E-102,cDC_CLEC9A,1.422976493
R3HDM4,4.82E-106,0.853041055,0.53,0.215,8.88E-102,cDC_CLEC9A,0.853041055
HNRNPLL,7.47E-106,0.813311081,0.419,0.147,1.38E-101,cDC_CLEC9A,0.813311081
ARF6,1.84E-104,0.927596991,0.709,0.413,3.40E-100,cDC_CLEC9A,0.927596991
ERAP2,3.94E-104,1.321657654,0.44,0.166,7.25E-100,cDC_CLEC9A,1.321657654
LDLRAD4,4.73E-103,0.80351686,0.513,0.207,8.70E-99,cDC_CLEC9A,0.80351686
G3BP2,1.21E-102,1.321288397,0.584,0.271,2.24E-98,cDC_CLEC9A,1.321288397
MRPL18,1.87E-101,1.001714735,0.664,0.343,3.45E-97,cDC_CLEC9A,1.001714735
BID,4.76E-101,1.512857553,0.721,0.408,8.76E-97,cDC_CLEC9A,1.512857553
HSDL2,6.76E-101,0.64633052,0.426,0.153,1.25E-96,cDC_CLEC9A,0.64633052
RCN2,4.47E-99,0.645509267,0.41,0.146,8.24E-95,cDC_CLEC9A,0.645509267
SPN,7.74E-99,0.442564454,0.446,0.162,1.43E-94,cDC_CLEC9A,0.442564454
HSPB11,2.83E-97,0.848204759,0.569,0.261,5.21E-93,cDC_CLEC9A,0.848204759
EVL,1.18E-96,1.047230589,0.681,0.351,2.17E-92,cDC_CLEC9A,1.047230589
DLGAP4,2.33E-96,0.836094539,0.479,0.191,4.29E-92,cDC_CLEC9A,0.836094539
PTMS,2.41E-96,0.930170051,0.659,0.357,4.44E-92,cDC_CLEC9A,0.930170051
PTGES2,2.49E-96,1.016549489,0.504,0.215,4.59E-92,cDC_CLEC9A,1.016549489
SRP19,2.96E-96,1.755114195,0.439,0.177,5.45E-92,cDC_CLEC9A,1.755114195
CBL,1.40E-93,0.612201232,0.449,0.176,2.59E-89,cDC_CLEC9A,0.612201232
MSL3,2.14E-93,0.946955147,0.499,0.203,3.94E-89,cDC_CLEC9A,0.946955147
BZW2,4.29E-92,0.655397798,0.426,0.16,7.90E-88,cDC_CLEC9A,0.655397798
DSTN,4.98E-92,0.906105476,0.66,0.341,9.16E-88,cDC_CLEC9A,0.906105476
PTRHD1,4.94E-91,1.050067623,0.668,0.343,9.10E-87,cDC_CLEC9A,1.050067623
OXSR1,5.73E-91,0.527909406,0.458,0.179,1.06E-86,cDC_CLEC9A,0.527909406
CCT2,2.47E-89,0.87696995,0.648,0.334,4.55E-85,cDC_CLEC9A,0.87696995
CCDC12,3.42E-89,1.166550949,0.592,0.281,6.29E-85,cDC_CLEC9A,1.166550949
OSBPL9,2.66E-88,1.238330356,0.429,0.164,4.90E-84,cDC_CLEC9A,1.238330356
ACTN1,1.05E-85,1.083000834,0.623,0.313,1.93E-81,cDC_CLEC9A,1.083000834
SRSF7,2.97E-85,1.004512504,0.797,0.547,5.48E-81,cDC_CLEC9A,1.004512504
SNRPF,1.01E-84,0.716677711,0.693,0.387,1.86E-80,cDC_CLEC9A,0.716677711
SEPHS2,1.21E-84,0.612720118,0.501,0.222,2.23E-80,cDC_CLEC9A,0.612720118
SSRP1,2.96E-84,0.374086768,0.47,0.199,5.45E-80,cDC_CLEC9A,0.374086768
TSTD1,3.52E-83,1.052147471,0.529,0.234,6.49E-79,cDC_CLEC9A,1.052147471
CIITA,5.71E-83,1.424733493,0.626,0.319,1.05E-78,cDC_CLEC9A,1.424733493
UPF2,3.15E-82,0.734523489,0.499,0.217,5.79E-78,cDC_CLEC9A,0.734523489
BIRC3,3.78E-82,1.44334373,0.511,0.217,6.95E-78,cDC_CLEC9A,1.44334373
CKLF,1.79E-81,1.483572833,0.754,0.501,3.30E-77,cDC_CLEC9A,1.483572833
EIF6,2.15E-81,1.334280352,0.688,0.4,3.96E-77,cDC_CLEC9A,1.334280352
ATP1A1,1.27E-80,1.157768234,0.7,0.425,2.34E-76,cDC_CLEC9A,1.157768234
PFDN2,1.44E-79,1.141993916,0.728,0.437,2.64E-75,cDC_CLEC9A,1.141993916
CACYBP,6.78E-79,1.001278265,0.686,0.396,1.25E-74,cDC_CLEC9A,1.001278265
SMIM14,7.67E-79,0.897427032,0.554,0.264,1.41E-74,cDC_CLEC9A,0.897427032
SEMA4A,5.18E-78,1.010509456,0.492,0.218,9.54E-74,cDC_CLEC9A,1.010509456
OFD1,5.34E-78,0.89959043,0.433,0.177,9.84E-74,cDC_CLEC9A,0.89959043
LPP,8.73E-78,1.24727922,0.556,0.262,1.61E-73,cDC_CLEC9A,1.24727922
NDUFS4,1.50E-77,1.575020938,0.573,0.281,2.77E-73,cDC_CLEC9A,1.575020938
PAK1,1.62E-77,1.332619642,0.736,0.431,2.98E-73,cDC_CLEC9A,1.332619642
RAB11A,2.72E-77,0.885413166,0.693,0.396,5.01E-73,cDC_CLEC9A,0.885413166
PDLIM7,4.98E-77,1.542217583,0.453,0.192,9.18E-73,cDC_CLEC9A,1.542217583
SFT2D2,5.38E-77,1.00564225,0.574,0.288,9.91E-73,cDC_CLEC9A,1.00564225
SLC1A5,8.31E-77,1.352906155,0.512,0.234,1.53E-72,cDC_CLEC9A,1.352906155
TUBA1A,3.82E-75,1.2696826,0.711,0.457,7.03E-71,cDC_CLEC9A,1.2696826
MZT2B,5.92E-75,0.377612004,0.642,0.351,1.09E-70,cDC_CLEC9A,0.377612004
MYD88,1.80E-73,1.210506616,0.64,0.352,3.31E-69,cDC_CLEC9A,1.210506616
CNPPD1,2.89E-73,0.975421864,0.544,0.266,5.33E-69,cDC_CLEC9A,0.975421864
TRPV2,3.25E-73,1.541592165,0.467,0.204,5.98E-69,cDC_CLEC9A,1.541592165
DCXR,5.68E-73,1.60756413,0.651,0.362,1.05E-68,cDC_CLEC9A,1.60756413
SLAMF8,6.49E-73,1.925158734,0.612,0.32,1.20E-68,cDC_CLEC9A,1.925158734
SRI,1.62E-72,1.016392964,0.703,0.429,2.99E-68,cDC_CLEC9A,1.016392964
ETV6,7.95E-72,0.812214927,0.556,0.285,1.46E-67,cDC_CLEC9A,0.812214927
SNX20,1.57E-71,0.889431193,0.47,0.214,2.89E-67,cDC_CLEC9A,0.889431193
FDFT1,3.34E-71,0.877245353,0.53,0.255,6.15E-67,cDC_CLEC9A,0.877245353
INPP5D,1.05E-70,1.298527887,0.597,0.306,1.93E-66,cDC_CLEC9A,1.298527887
FNIP2,6.76E-70,0.692429569,0.48,0.216,1.24E-65,cDC_CLEC9A,0.692429569
ADSL,8.02E-70,1.084053578,0.469,0.211,1.48E-65,cDC_CLEC9A,1.084053578
DNAJC4,5.69E-69,0.717468254,0.65,0.357,1.05E-64,cDC_CLEC9A,0.717468254
MBP,1.11E-68,0.497687513,0.602,0.313,2.05E-64,cDC_CLEC9A,0.497687513
UBE2N,1.24E-68,0.973202415,0.651,0.369,2.28E-64,cDC_CLEC9A,0.973202415
LRRK2,3.19E-68,0.917490409,0.463,0.206,5.87E-64,cDC_CLEC9A,0.917490409
CD59,9.11E-68,1.241214607,0.634,0.335,1.68E-63,cDC_CLEC9A,1.241214607
CRIP1,2.17E-67,0.932504316,0.557,0.288,4.00E-63,cDC_CLEC9A,0.932504316
TIMM17B,2.45E-66,0.879403714,0.609,0.319,4.51E-62,cDC_CLEC9A,0.879403714
CSK,2.96E-64,0.789570886,0.614,0.342,5.45E-60,cDC_CLEC9A,0.789570886
TRABD,4.83E-64,0.794762334,0.633,0.352,8.90E-60,cDC_CLEC9A,0.794762334
MYADM,7.94E-64,1.358743836,0.606,0.329,1.46E-59,cDC_CLEC9A,1.358743836
SMARCA5,5.22E-63,0.559771198,0.576,0.306,9.61E-59,cDC_CLEC9A,0.559771198
SNRPA,7.12E-63,1.558485576,0.557,0.291,1.31E-58,cDC_CLEC9A,1.558485576
AKR7A2,2.84E-62,0.858542361,0.5,0.245,5.22E-58,cDC_CLEC9A,0.858542361
